"host_is_superhost","identity_varified_host","Allston","Back Bay","Beacon Hill","Brighton","Charlestown","Dorchester","Downtown","East Boston","Fenway","Jamaica Plain","Mission Hill","North End","Other","Roslindale","Roxbury","South Boston","South Boston Waterfront","South End","is_apartment","is_condominium","is_house","is_other_type","is_Entire_home/apt","is_Private_room","is_shared_room","accommodates","bathrooms","bedrooms","beds","Airbed","Couch","Futon","Pull-out Sofa","Real Bed","price","is_deposit","is_clean_fee","guests_included","is_extra_people","number_of_reviews","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","Cancellation_policy_flexible","Cancellation_policy_moderate","Cancellation_policy_strict","Cancellation_policy_SuperStrict","reviews_per_month"
"0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","2","1","1","1","0","0","0","0","1","125.00 ","0","1","1","0","171","92","9","9","10","10","10","9","0","0","1","0","6.23"
"0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","1","1","1","0","0","0","0","1","80.00 ","1","1","1","0","1","80","10","6","10","10","6","6","1","0","0","0","0.1"
"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","1","1","1","1","0","0","0","0","1","35.00 ","1","1","1","0","3","93","9","9","9","10","9","9","0","0","1","0","0.34"
"1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","1","0","5","1","1","1","0","0","0","0","1","69.00 ","1","1","2","1","160","98","10","10","10","10","10","9","0","0","1","0","2.66"
"0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","2","1","1","1","0","0","0","0","1","259.00 ","0","0","1","0","9","89","9","10","10","10","10","8","0","0","0","1","0.33"
"1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","4","1","1","1","0","0","0","0","1","229.00 ","0","0","2","1","25","96","10","10","10","10","10","9","0","0","1","0","0.52"
"0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","2","1","1","1","0","0","0","0","1","249.00 ","0","0","1","0","17","88","9","8","10","10","10","9","0","0","0","1","0.44"
"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","1","1","1","1","0","0","0","0","1","40.00 ","1","1","1","0","4","90","10","10","10","10","7","9","0","0","1","0","0.32"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","4","1","1","2","0","0","0","0","1","75.00 ","1","1","2","1","1","100","10","10","10","10","10","10","0","1","0","0","1"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","2","1","1","1","0","0","0","0","1","75.00 ","0","1","1","0","8","100","10","10","10","10","9","10","1","0","0","0","1.7"
"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","3","1","1","2","0","0","0","0","1","100.00 ","0","0","1","1","57","90","10","10","10","10","9","9","0","0","1","0","4"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","2","2","1","1","0","0","0","0","1","75.00 ","0","1","1","1","67","96","10","10","10","10","10","10","0","1","0","0","2.38"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","2","1","1","2","0","0","0","0","1","58.00 ","0","0","2","0","65","96","10","10","10","10","9","10","0","1","0","0","5.36"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","2","1","1","1","0","0","0","0","1","60.00 ","0","1","1","1","1","80","10","8","8","10","10","10","1","0","0","0","0.36"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","1","1","1","1","0","0","0","0","1","57.00 ","0","1","1","0","17","94","9","10","10","10","9","9","1","0","0","0","0.48"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","1","0","0","4","1","2","2","0","0","0","0","1","93.00 ","0","1","1","0","1","100","10","10","10","10","10","10","1","0","0","0","0.64"
"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0","2","1.5","2","2","0","0","0","0","1","145.00 ","1","1","2","1","7","91","9","9","10","9","9","9","0","1","0","0","0.56"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","4","1","1","3","0","0","0","0","1","165.00 ","0","1","3","1","1","100","10","10","10","10","10","10","1","0","0","0","1"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","2","1","1","1","0","0","0","0","1","75.00 ","0","1","1","1","1","100","10","10","10","10","10","10","1","0","0","0","0.37"
